Nom,Unit,Conditionnement,Prix
Poche de transfusion 250 ml,1 Poche,5,"8,5"
"Fil de Sut.,PGA,tressé,75cm, déc.2(3/0),aig.1/2c,R,eff,30mm",1 Pièce,12,"12,5"
"Abaisse langue en bois, pièce, 100",1Pièce,100,"2,5"
"Bande de gaze (Cambric), avec lisières, 5cm*5m",1Pièce,12,1
"Bande de gaze, 7,5cmx5m, 12",1Pièce,12,"2,5"
"Bande élastique, 8cmx4m, Unité, 12",1Pièce,12,"8,5"
"Catheter court IV avec site d'injection, u.u., 18G, Unité, 100",1Pièce,100,14
"Catheter court IV avec site d'injection, u.u., 22G, Unité, 100",1Pièce,100,14
"Catheter court IV avec site d'injection, u.u., 24G, Unité, 100",1Pièce,100,14
"Catheter court IV avec site d'injection, u.u., 20G, Unité, 100",1Pièce,100,14
"Compresse de gaze, 10x10cm, 12 plis, non stérile, 100",1Pièce,100,7
"Compresse de gaze, 10x10cm, 12 plis, stérile, 100/45",1Pièce,100,7
"Cordon ombilical, rouleau, coton, 100 m, Unité, 12",1Pièce,12,72
"Coton hydrophile, rouleau, 500g, Unité",1Pièce,1,"3,3"
"Gants chirurgicaux, latex, u.u.,stériles,  7½, Paire",1Pièce,24,7
"Gants d'examen latex non stériles, u.u., Medium, 100",1Pièce,100,"6,5"
"Sachet plastique pour médicament, 6x8cm, Sachet",1Pièce,1000,9
"Sachet plastique pour médicament, 10x8cm, Sachet",1Pièce,1000,15
"Seringue, u.u., Luer, 5ml, avec aiguille G23",1Pièce,1800,117
"Sonde vésicale, Foley, 2 voies, ballonnet, CH14, stérile, ",1Pièce,12,"8,5"
"Sonde vésicale, Foley, 2 voies, ballonnet, CH16, stérile,",1Pièce,12,"8,5"
"Sonde vésicale, Foley, 3 voies CH20, 30-50ml, stérile, Unité",1Pièce,12,20
"Sparadrap, Oxyde de Zinc, non perforé, 5cm*5m",1Pièce,12,12
"Sparadrap, Oxyde de Zinc, non perforé, 10cm*10m",1Pièce,1,"2,5"
"Sut., PGA, tressé, 75cm, déc.3 (2/0), aig.1/2c, R, eff., 30mm, 12",1Pièce,12,"12,5"
"Sut., polyamide, monofil, 75cm, déc.3 (2/0), aig.3/8c, T, 12",1Pièce,12,14
"Trousse de transfusion, Pièce, Unité",1Pièce,10,"4,2"
"Trousse de perfusion, Pièce, Unité",1Pièce,25,"5,5"
"SONDE GASTRIQUE, embout conique, 125 cm, u.u., CH06",1Pièce,1,"0,8"
"SONDE GASTRIQUE, embout conique, 125 cm, u.u., CH08",1Pièce,1,"0,8"
"SONDE GASTRIQUE, embout conique, 125 cm, u.u., CH10",1Pièce,1,"0,8"
"SONDE GASTRIQUE, embout conique, 125 cm, u.u., CH12",1Pièce,1,"0,8"
"SONDE GASTRIQUE, embout conique, 125 cm, u.u., CH16",1Pièce,1,"0,8"
"SERINGUE, u.u., 60 ml, embout conique",piece,60,90
"(HemoCue Hb 201+/301) NETTOYANT, 5pcs, HE139123",piece,5,35
"(HemoCue Hb 301) MICROCUVETTE, u.u.",piece,50,65
(glucomètre Nova StatStrip) BANDELETTE 42214,piece,100,35
"AIGUILLE PONCTION LOMBAIRE, Luer, u.u., 20 G (0,9 x 90 mm)",piece,25,20
"AIGUILLE PONCTION LOMBAIRE, Luer, u.u., 22 G (0,7 x 40 mm)",piece,25,20
"SERINGUE, u.u., Luer, 10 ml avec Aiguille G21",piece,1200,90
"SERINGUE, u.u., Luer, 20 ml",piece,80,15
Poche de transfusion 450 ml,1Pièce,30,51
"MASQUE CHIRURGICAL, type IIR, u.u.",piece,50,5
"COMPTEUR DE COMPRIMES, triangulaire, mÃ©tallique, 17 cm",Pce,68,53
BROYEUR DE COMPRIMES,Pce,67,20
"COUPEUR DE COMPRIMES, lame inoxydable",Pce,70,"8,5"
Plateaux à pansement (30 cm x 20 cm x 3 cm),Pce,68,17
