Nom,Unit,Conditionnement,Prix
"Artésunate, 60mg, Injectable",1 Amp,100,150
"Quinine Bichlorhydrate, 300mg/ml, 2ml",1 Amp,100,22
"Ceftriaxone 1g, Vial, Unité",1 Vial,1,"0,32"
"Dexamethasone sodium phosphate, 4mg/ml, 1ml",1 Ampoule,10,"0,48"
"Gentamycine, 40mg/ml, 2ml, Amp",1 Ampoule,100,6
"Oxytocine, 10UI/ml, 1ml, Amp",1 Ampoule,100,"9,5"
"Dextrose (Glucose), 50%, 50ml,",1 Baxter,20,13
"Ciprofloxacine, 2mg/ml flacon",Flacon,100,50
"Metronidazole 500 mg/100 ml, inj, flacon",Flacon,100,50
"Epinéphrine (Adrenaline), 1mg/ml, 1ml, Amp, Unité",1 Ampoule,10,"1,5"
"Ampicilline, 1g, Vial, Unité",1amp,100,17
"Atropine, 1mg/ml, 1ml, Amp, Unité",1amp,100,6
"Diazepam, 5mg/ml, 2ml, Amp, Unité",1amp,10,"1,5"
"Diclofenac 25mg/ml, 3ml, Amp, Unité ",1amp,100,5
"Eau pour injection, 10ml, Vial, Unité",1amp,100,6
"Furosemide, 10mg/ml, 2ml, Amp, Unité",1amp,100,6
"Hydrocortisone sodium succinate, 100mg, Vial, Unité",1amp,100,50
"Methylergometrine maleate, 0.2mg/ml, 1ml, Amp, Unité",1amp,10,"2,5"
"Métoclopramide chlorhydrate, 5mg/ml, 2ml, Amp, Unité",1amp,100,9
"Penicilline Benzathine, 2,4MUI, Vial, Unité",1amp,50,17
"Phenobarbital sodique, 100mg/ml, 2ml, Amp, Unité",1amp,10,"8,5"
"Phytomenadione (Vitamine K1), 10mg/ml, 1ml, Amp, Unité",1amp,30,7
"Pyridoxine, 50mg/ml, 2ml, Amp, Unité",1amp,10,"0,5"
"Salbutamol, 0,5mg/ml, 1ml, Amp, Unité",1amp,100,11
"Sulfate de Magnésium, 500mg, 10ml, Amp",1 Ampoule,10,13
"CEFOTAXIME sodique, éq. 1g base, fl.",Flacon,100,32
"CLOXACILLINE sodique, éq. 500 mg base, poudre, fl. IV",Flacon,100,22
"CHLORAMPHENICOL, 1 g, poudre,  fl.",Flacon,50,35
"PARACETAMOL (acétaminophène), 10 mg/ml, 100 ml, fl.",Flacon,10,20
"TRAMADOL chlorhydrate, 50 mg/ml, 2 ml, amp.",ampoule,10,"2,55"
